1001	1	1	<p>Qu'est-ce que le World Wide Web ?<br></p>	<p></p><p>système hypertexte fonctionnant sur internet</p> <p>= une des applications d'internet, comme courrier électronique, messagerie instantanée...</p><br><p></p>	
1002	1	2	<p>Citez au moins deux intérêts d'une page web utilisant du code PHP par rapport à une page web en HTML simple.<br></p>	<p><p>- modification d'une page sans modification du code source nécessaire</p><p>- interaction avec l'utilisateur<br></p><br></p>	
1003	1	3	<p>Quelle est la déclaration de type de document (doctype) d'une page web en HTML 5 (première ligne de la page HTML) ?<br></p>	<span class="doctype">&lt;!DOCTYPE html&gt;</span>	
1004	1	4	<p>Quelle balise HTML contient les informations destinées au navigateur et aux moteurs de recherche ?<br></p>	<p>head</p><p>0 si html</p><p>0.5 si meta<br></p>	
1007	1	7	<p>Quel code HTML permet d'afficher la liste suivante :<br>&nbsp;&nbsp;&nbsp; 1. Nice<br>&nbsp;&nbsp;&nbsp; 2. Bordeaux</p><p><br></p><br>	<p>&lt;ol&gt;</p><p>&lt;li&gt;Nice&lt;/li&gt;<br></p><p></p><p>&lt;li&gt;Bordeaux&lt;/li&gt;<br></p><p></p>&lt;/ol&gt;<p></p><br>0.5 si ul au lieu de ol<br>0 si p ou tableau<br><p></p>	
1008	1	8	<p>À quoi sert la balise div ?<br></p>	<p>elle définit une section de document. utilisée en particulier pour appliquer un style ou un comportement particulier à cette section</p><p><br></p><p>50% si dit que ça crée une section</p><p>75% si parlé en plus de css, js...<br></p>	
1009	1	9	<p>En HTML5, dans quelle balise est-il souhaitable de placer le code d'un menu de navigation ?<br></p>	<p>nav<br></p>	
1010	1	10	<p>Dans un formulaire HTML, quel est l'avantage du mode de transmission POST par rapport au GET ?<br></p>	<p>GET: variables et valeurs dans l'URL =&gt; moins sécurisé et plus limité (en nombre de caractères)<br></p>	
1011	1	11	<p>&nbsp;Quel code HTML permet d'afficher une liste déroulante de nom prix_billets permettant de sélectionner la catégorie de billets souhaitée: Catégorie 1, Catégorie 2,&nbsp; Catégorie 2, Catégorie 4 ?<span class="rangySelectionBoundary" style="line-height: 0; display: none;" id="selectionBoundary_1466406655767_2619219138796274"></span></p><br>	<p></p><p><br></p><p>&nbsp;&nbsp;&nbsp;&nbsp; &lt;select name="prix_billets"&gt;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &lt;option value="cat1"&gt;Catégorie 1&lt;/option&gt;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &lt;option value="cat2"&gt;Catégorie 2&lt;/option&gt;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &lt;option value="cat3"&gt;Catégorie 3&lt;/option&gt;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &lt;option value="cat4"&gt;Catégorie 4&lt;/option&gt;<br>&nbsp;&nbsp;&nbsp;&nbsp; &lt;/select&gt;</p><br><p></p>	
1014	1	14	<p>Comment attribuer le style déclaré dans le code suivant du CSS à un paragraphe dans le HTML ?</p><p>&nbsp;&nbsp;&nbsp; &lt;code&gt;.qualif&lt;/code&gt;<br></p><p><br></p>	<p>&lt;p class="qualif"&gt;</p><p><br></p><p>ok si div au lieu de p<br></p>	
